method,model_name,split,seed,threshold_source,label,f1,auprc,gold,pred,gold_rate,pred_rate,source_file
asl,microsoft/deberta-v3-base,test,1984,provided,Tradition,0.47747747747747743,0.4436285631754234,196.0,248.0,0.01345322259592285,0.017022444917290137,results/logs/deberta_asl_seed1984_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,1984,provided,Conformity: rules,0.42667884878940154,0.4040856072921154,911.0,1278.0,0.06253002951472304,0.08772050243668063,results/logs/deberta_asl_seed1984_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,1984,provided,Conformity: interpersonal,0.1326781326781327,0.08713142184737611,195.0,212.0,0.013384583705127325,0.014551444848651245,results/logs/deberta_asl_seed1984_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,1984,provided,Humility,0.0375,0.017465833111092944,30.0,290.0,0.0020591667238657424,0.019905278330702176,results/logs/deberta_asl_seed1984_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,1984,provided,Benevolence: caring,0.26138032305433184,0.18143890332581214,324.0,357.0,0.022239000617750016,0.024504084014002333,results/logs/deberta_asl_seed1984_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,1984,provided,Benevolence: dependability,0.2751540041067762,0.21722513520181894,288.0,199.0,0.019768000549111125,0.013659139268309424,results/logs/deberta_asl_seed1984_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,1984,provided,Universalism: concern,0.41621621621621624,0.3588393011463965,735.0,1115.0,0.05044958473471069,0.07653236323701008,results/logs/deberta_asl_seed1984_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,1984,provided,Universalism: nature,0.5660377358490566,0.5265250190593734,293.0,396.0,0.02011119500308875,0.027181000755027798,results/logs/deberta_asl_seed1984_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,1984,provided,Universalism: tolerance,0.23323615160349856,0.14951370602733846,171.0,172.0,0.011737250326034732,0.011805889216830257,results/logs/deberta_asl_seed1984_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,42,provided,Self-direction: thought,0.050359712230215826,0.03635416051361551,171.0,107.0,0.011737250326034732,0.007344361315121148,results/logs/deberta_asl_seed42_deberta-v3-base_test_metrics.json
asl,microsoft/deberta-v3-base,test,42,provided,Self-direction: action,0.1465863453815261,0.10441369757587686,512.0,484.0,0.03514311208730867,0.03322122314503398,results/logs/deberta_asl_seed42_deberta-v3-base_test_metrics.json
