method,model_name,split,threshold_source,label,f1_mean,f1_std,f1_count,auprc_mean,auprc_std,auprc_count,gold_mean,gold_std,gold_count,pred_mean,pred_std,pred_count,gold_rate_mean,gold_rate_std,gold_rate_count,pred_rate_mean,pred_rate_std,pred_rate_count,f1_mean_std,auprc_mean_std,gold_mean_std,pred_mean_std,gold_rate_mean_std,pred_rate_mean_std
bce,microsoft/deberta-v3-base,test,provided,Power: resources,0.3875566752569357,0.009257369513731944,5,0.3296369879521953,0.0180717994459566,5,805.0,0.0,5,1271.2,210.99217994987396,5,0.05525430709039743,0.0,5,0.08725375797927107,0.014482269198289103,5,0.3876 ± 0.0093,0.3296 ± 0.0181,805.0000 ± 0.0000,1271.2000 ± 210.9922,0.0553 ± 0.0000,0.0873 ± 0.0145
bce,microsoft/deberta-v3-base,test,provided,Security: personal,0.32790625597053585,0.021629255971288248,5,0.2564390060316457,0.02600401941737763,5,352.0,0.0,5,373.6,93.91645223282234,5,0.02416088956002471,0.0,5,0.025643489601208047,0.006446321108711808,5,0.3279 ± 0.0216,0.2564 ± 0.0260,352.0000 ± 0.0000,373.6000 ± 93.9165,0.0242 ± 0.0000,0.0256 ± 0.0064
bce,microsoft/deberta-v3-base,test,provided,Security: societal,0.42362239891794673,0.00504197750397731,5,0.3809596816952604,0.009235363582620117,5,1151.0,0.0,5,1668.2,186.57357797930553,5,0.07900336330564899,0.0,5,0.11450339762509439,0.012806203444251868,5,0.4236 ± 0.0050,0.3810 ± 0.0092,1151.0000 ± 0.0000,1668.2000 ± 186.5736,0.0790 ± 0.0000,0.1145 ± 0.0128
bce,microsoft/deberta-v3-base,test,provided,Self-direction: action,0.18743767330902086,0.01357336451018497,5,0.12376257788690545,0.0139114560249599,5,512.0,0.0,5,698.2,177.64205583138246,5,0.03514311208730867,0.0,5,0.047923673553435374,0.012193153670902769,5,0.1874 ± 0.0136,0.1238 ± 0.0139,512.0000 ± 0.0000,698.2000 ± 177.6421,0.0351 ± 0.0000,0.0479 ± 0.0122
bce,microsoft/deberta-v3-base,test,provided,Self-direction: thought,0.1005502001086365,0.012214141814166895,5,0.053724276598138054,0.006344773094240323,5,171.0,0.0,5,413.8,154.80051679500298,5,0.011737250326034732,0.0,5,0.028402773011188136,0.010625335767383002,5,0.1006 ± 0.0122,0.0537 ± 0.0063,171.0000 ± 0.0000,413.8000 ± 154.8005,0.0117 ± 0.0000,0.0284 ± 0.0106
bce,microsoft/deberta-v3-base,test,provided,Stimulation,0.23761899479627538,0.007593787077875062,5,0.18373826354849032,0.003096917776513844,5,371.0,0.0,5,449.2,136.79437122922857,5,0.02546502848513968,0.0,5,0.030832589745349713,0.009389413908245494,5,0.2376 ± 0.0076,0.1837 ± 0.0031,371.0000 ± 0.0000,449.2000 ± 136.7944,0.0255 ± 0.0000,0.0308 ± 0.0094
bce,microsoft/deberta-v3-base,test,provided,Tradition,0.44022235092609846,0.012370400942638757,5,0.38074920924066485,0.020034323009764193,5,196.0,0.0,5,215.4,50.26231192454243,5,0.01345322259592285,0.0,5,0.01478481707735603,0.003449949339319269,5,0.4402 ± 0.0124,0.3807 ± 0.0200,196.0000 ± 0.0000,215.4000 ± 50.2623,0.0135 ± 0.0000,0.0148 ± 0.0034
bce,microsoft/deberta-v3-base,test,provided,Universalism: concern,0.4155884143061484,0.008068890927996588,5,0.3606868440062369,0.01701430400647999,5,735.0,0.0,5,932.4,143.64644095834743,5,0.05044958473471069,0.0,5,0.06399890177774728,0.009859732374105801,5,0.4156 ± 0.0081,0.3607 ± 0.0170,735.0000 ± 0.0000,932.4000 ± 143.6464,0.0504 ± 0.0000,0.0640 ± 0.0099
bce,microsoft/deberta-v3-base,test,provided,Universalism: nature,0.5501365835625357,0.008631955973652296,5,0.5028978737803269,0.004725722311185252,5,293.0,0.0,5,399.4,38.298825047251775,5,0.02011119500308875,0.0,5,0.02741437298373258,0.002628788870015223,5,0.5501 ± 0.0086,0.5029 ± 0.0047,293.0000 ± 0.0000,399.4000 ± 38.2988,0.0201 ± 0.0000,0.0274 ± 0.0026
bce,microsoft/deberta-v3-base,test,provided,Universalism: tolerance,0.2039385571554031,0.046323526305009265,5,0.1513923220116103,0.01811412035092656,5,171.0,0.0,5,167.2,71.64286426434946,5,0.011737250326034732,0.0,5,0.011476422541011739,0.004917486736519284,5,0.2039 ± 0.0463,0.1514 ± 0.0181,171.0000 ± 0.0000,167.2000 ± 71.6429,0.0117 ± 0.0000,0.0115 ± 0.0049
empirical_structure,microsoft/deberta-v3-base,test,provided,Achievement,0.3514588567238791,0.006342926155858327,5,0.3067128707090846,0.012532677583171453,5,911.0,0.0,5,1163.2,252.80565658228457,5,0.06253002951472304,0.0,5,0.07984075777335438,0.01735229985464236,5,0.3515 ± 0.0063,0.3067 ± 0.0125,911.0000 ± 0.0000,1163.2000 ± 252.8057,0.0625 ± 0.0000,0.0798 ± 0.0174
empirical_structure,microsoft/deberta-v3-base,test,provided,Benevolence: caring,0.2312863614074446,0.008742495001548096,5,0.15835994495655092,0.013179452848053925,5,324.0,0.0,5,619.2,140.87121778418754,5,0.022239000617750016,0.0,5,0.04250120118058892,0.009669244133721435,5,0.2313 ± 0.0087,0.1584 ± 0.0132,324.0000 ± 0.0000,619.2000 ± 140.8712,0.0222 ± 0.0000,0.0425 ± 0.0097
empirical_structure,microsoft/deberta-v3-base,test,provided,Benevolence: dependability,0.2645683366470953,0.01536654380172638,5,0.20835150006063316,0.00538107375432815,5,288.0,0.0,5,263.2,91.82701127663908,5,0.019768000549111125,0.0,5,0.018065756057382112,0.0063029041990966496,5,0.2646 ± 0.0154,0.2084 ± 0.0054,288.0000 ± 0.0000,263.2000 ± 91.8270,0.0198 ± 0.0000,0.0181 ± 0.0063
empirical_structure,microsoft/deberta-v3-base,test,provided,Conformity: interpersonal,0.10610287346580209,0.008991513010332627,5,0.0613111040721394,0.004900109906655061,5,195.0,0.0,5,302.0,105.47748574932946,5,0.013384583705127327,0.0,5,0.020728945020248475,0.0072398576257347415,5,0.1061 ± 0.0090,0.0613 ± 0.0049,195.0000 ± 0.0000,302.0000 ± 105.4775,0.0134 ± 0.0000,0.0207 ± 0.0072
empirical_structure,microsoft/deberta-v3-base,test,provided,Conformity: rules,0.42565960227252847,0.010227387806613218,5,0.38801215362519414,0.014717648112278704,5,911.0,0.0,5,1282.0,157.0350279396288,5,0.06253002951472304,0.0,5,0.08799505799986272,0.010778710133820358,5,0.4257 ± 0.0102,0.3880 ± 0.0147,911.0000 ± 0.0000,1282.0000 ± 157.0350,0.0625 ± 0.0000,0.0880 ± 0.0108
empirical_structure,microsoft/deberta-v3-base,test,provided,Face,0.244726230787275,0.006923885562855162,5,0.1498705126228193,0.011769244325611371,5,267.0,0.0,5,337.6,22.842942017174583,5,0.018326583842405108,0.0,5,0.023172489532569153,0.0015679142025653502,5,0.2447 ± 0.0069,0.1499 ± 0.0118,267.0000 ± 0.0000,337.6000 ± 22.8429,0.0183 ± 0.0000,0.0232 ± 0.0016
empirical_structure,microsoft/deberta-v3-base,test,provided,Hedonism,0.2648202250144941,0.024427197039780156,5,0.18237246897253326,0.01900550257265664,5,125.0,0.0,5,155.6,20.911719202399404,5,0.008579861349440594,0.0,5,0.01068021140778365,0.0014353572106801707,5,0.2648 ± 0.0244,0.1824 ± 0.0190,125.0000 ± 0.0000,155.6000 ± 20.9117,0.0086 ± 0.0000,0.0107 ± 0.0014
empirical_structure,microsoft/deberta-v3-base,test,provided,Humility,0.0390700514686745,0.007042628824485364,5,0.020117753078912972,0.00770477892819403,5,30.0,0.0,5,227.2,84.756710648774,5,0.0020591667238657424,0.0,5,0.015594755988743223,0.005817606606409087,5,0.0391 ± 0.0070,0.0201 ± 0.0077,30.0000 ± 0.0000,227.2000 ± 84.7567,0.0021 ± 0.0000,0.0156 ± 0.0058
empirical_structure,microsoft/deberta-v3-base,test,provided,Power: dominance,0.341852733637941,0.015241778900558988,5,0.2689930865115665,0.017053608997138238,5,631.0,0.0,5,898.8,137.75775840220396,5,0.04331114009197611,0.0,5,0.06169263504701763,0.009455539735205156,5,0.3419 ± 0.0152,0.2690 ± 0.0171,631.0000 ± 0.0000,898.8000 ± 137.7578,0.0433 ± 0.0000,0.0617 ± 0.0095
empirical_structure,microsoft/deberta-v3-base,test,provided,Power: resources,0.3891656803993179,0.005844805389388233,5,0.33348498384549996,0.00866053276153957,5,805.0,0.0,5,1364.0,259.91825638073215,5,0.05525430709039743,0.0,5,0.09362344704509576,0.017840500815480276,5,0.3892 ± 0.0058,0.3335 ± 0.0087,805.0000 ± 0.0000,1364.0000 ± 259.9183,0.0553 ± 0.0000,0.0936 ± 0.0178
empirical_structure,microsoft/deberta-v3-base,test,provided,Security: personal,0.3251228853042352,0.01481218229358571,5,0.24794652639707193,0.01829000234263758,5,352.0,0.0,5,454.2,69.17152593372508,5,0.02416088956002471,0.0,5,0.031175784199327337,0.004747856814724763,5,0.3251 ± 0.0148,0.2479 ± 0.0183,352.0000 ± 0.0000,454.2000 ± 69.1715,0.0242 ± 0.0000,0.0312 ± 0.0047
