comparison,main_paper_comparison,condition_a,condition_b,condition_a_family,condition_b_family,reference_seed,metric,higher_is_better,score_a,score_b,delta_a_minus_b,delta_ci_low,delta_ci_high,improvement_a_over_b,improvement_ci_low,improvement_ci_high,p_value_two_sided,n_samples,n_iterations,bootstrap_seed,significant_0.05
qwen_continuum_vs_schwartz_decoder,True,qwen_continuum,schwartz_decoder_seed11,llm,schwartz_decoder,11.0,micro_f1,True,0.2643078796457636,0.3495539323488038,-0.0852460527030402,-0.09329552618274099,-0.07696930310516197,-0.0852460527030402,-0.09329552618274099,-0.07696930310516197,0.0,14569,2000,42,True
qwen_continuum_vs_schwartz_decoder,True,qwen_continuum,schwartz_decoder_seed11,llm,schwartz_decoder,11.0,opposite_error_rate,False,0.5321758389472961,0.507970929145813,0.024204909801483154,0.013343201577663421,0.03535252362489699,-0.024204909801483154,-0.03535252362489699,-0.013343201577663421,0.0,14569,2000,42,True
qwen_continuum_vs_schwartz_decoder,True,qwen_continuum,schwartz_decoder_seed11,llm,schwartz_decoder,11.0,decoder_geometry_cost,False,0.5633430836399489,0.5358324539781525,0.027510629661796404,0.005020232897854854,0.04678725645920521,-0.027510629661796404,-0.04678725645920521,-0.005020232897854854,0.01,14569,2000,42,True
qwen_definitions_vs_schwartz_decoder,False,qwen_definitions,schwartz_decoder_seed11,llm,schwartz_decoder,11.0,macro_f1,True,0.24295939842614378,0.29653388142038195,-0.05357448299423817,-0.0654993581500351,-0.04092353212479121,-0.05357448299423817,-0.0654993581500351,-0.04092353212479121,0.0,14569,2000,42,True
qwen_definitions_vs_schwartz_decoder,False,qwen_definitions,schwartz_decoder_seed11,llm,schwartz_decoder,11.0,micro_f1,True,0.2730267336123114,0.3495539323488038,-0.07652719873649239,-0.0854455631933489,-0.06791082684093258,-0.07652719873649239,-0.0854455631933489,-0.06791082684093258,0.0,14569,2000,42,True
qwen_definitions_vs_schwartz_decoder,False,qwen_definitions,schwartz_decoder_seed11,llm,schwartz_decoder,11.0,opposite_error_rate,False,0.5214343667030334,0.507970929145813,0.013463437557220459,0.001889665424823761,0.024923121929168696,-0.013463437557220459,-0.024923121929168696,-0.001889665424823761,0.024,14569,2000,42,True
qwen_definitions_vs_schwartz_decoder,False,qwen_definitions,schwartz_decoder_seed11,llm,schwartz_decoder,11.0,decoder_geometry_cost,False,0.5757443684383586,0.5358324539781525,0.039911914460206144,0.017550736051459667,0.05941882764437611,-0.039911914460206144,-0.05941882764437611,-0.017550736051459667,0.0,14569,2000,42,True
qwen_continuum_vs_bce_thresholding,True,qwen_continuum,bce_thresholding_seed42,llm,bce_thresholding,42.0,macro_f1,True,0.2395924129005671,0.29630508495553604,-0.05671267205496894,-0.0667254730935624,-0.04603130512481716,-0.05671267205496894,-0.0667254730935624,-0.04603130512481716,0.0,14569,2000,42,True
qwen_continuum_vs_bce_thresholding,True,qwen_continuum,bce_thresholding_seed42,llm,bce_thresholding,42.0,micro_f1,True,0.2643078796457636,0.33617000699761096,-0.07186212735184738,-0.07996620885763933,-0.06338066793134016,-0.07186212735184738,-0.07996620885763933,-0.06338066793134016,0.0,14569,2000,42,True
qwen_continuum_vs_bce_thresholding,True,qwen_continuum,bce_thresholding_seed42,llm,bce_thresholding,42.0,opposite_error_rate,False,0.5321758389472961,0.5176442861557007,0.014531552791595459,0.003039129078388214,0.025630463659763333,-0.014531552791595459,-0.025630463659763333,-0.003039129078388214,0.006,14569,2000,42,True
