method,seed,model_slug,objective,top_k,max_candidates,max_labels,threshold_factor,min_prob,marginal_temperature,neighbor_steps,alpha_neighbor,beta_opposite,gamma_cardinality,validation_macro_f1,validation_micro_f1,validation_macro_auprc,validation_micro_auprc,validation_circular_error,validation_opposite_value_activation,validation_neighbor_error_rate,validation_opposite_error_rate,validation_confusion_distance_correlation,validation_decoder_geometry_cost,validation_n_predictions,validation_prediction_rate,test_macro_f1,test_micro_f1,test_macro_auprc,test_micro_auprc,test_circular_error,test_opposite_value_activation,test_neighbor_error_rate,test_opposite_error_rate,test_confusion_distance_correlation,test_decoder_geometry_cost,test_n_predictions,test_prediction_rate
bce,42,deberta-v3-base,standard,8,8,5,0.5,0.01,1.0,2,0.0,0.0,0.0,0.3051775050713913,0.3462186492081067,0.23041633713948007,0.2762630740326968,0.12844459499816663,0.04759334650044733,0.18363296754611252,0.528251225776325,-0.0973636343265864,0.6145205589958511,12162.0,0.04294855496228494,0.29630508385730386,0.33617000344335674,0.2312928042550224,0.27116088144330946,0.12714188766778417,0.04555671759531583,0.1947362209370943,0.5176442818364215,-0.14557562479692246,0.5668048779765934,11890.0,0.04295349534519943
bce,42,deberta-v3-base,f1,8,8,5,0.5,0.01,1.0,2,0.0,0.0,0.0,0.3051775050713913,0.3462186492081067,0.23041633713948007,0.2762630740326968,0.12844459499816663,0.04759334650044733,0.18363296754611252,0.528251225776325,-0.0973636343265864,0.6145205589958511,12162.0,0.04294855496228494,0.29630508385730386,0.33617000344335674,0.2312928042550224,0.27116088144330946,0.12714188766778417,0.04555671759531583,0.1947362209370943,0.5176442818364215,-0.14557562479692246,0.5668048779765934,11890.0,0.04295349534519943
bce,42,deberta-v3-base,pareto_99,8,8,5,0.5,0.01,1.0,2,0.1,0.2,0.0,0.3036877732453511,0.3448839332916807,0.22796231297945144,0.2648377206711484,0.27796314708494746,0.10540139364089657,0.18901022304832713,0.5247444237918215,-0.11614861931010435,0.5976060275300443,12196.0,0.0430686216346018,0.29748236003614675,0.33688657464262906,0.22955949194678668,0.2638257240814199,0.26961983646719784,0.09831915134152656,0.19860996583814347,0.5153728354340912,-0.16258118471672872,0.551401616555506,11918.0,0.04305464739479284
bce,42,deberta-v3-base,pareto_98,8,8,5,0.5,0.01,1.0,2,0.1,0.2,0.0,0.3036877732453511,0.3448839332916807,0.22796231297945144,0.2648377206711484,0.27796314708494746,0.10540139364089657,0.18901022304832713,0.5247444237918215,-0.11614861931010435,0.5976060275300443,12196.0,0.0430686216346018,0.29748236003614675,0.33688657464262906,0.22955949194678668,0.2638257240814199,0.26961983646719784,0.09831915134152656,0.19860996583814347,0.5153728354340912,-0.16258118471672872,0.551401616555506,11918.0,0.04305464739479284
bce,42,deberta-v3-base,pareto_95,8,8,5,0.5,0.01,1.0,2,0.1,0.2,0.0,0.3036877732453511,0.3448839332916807,0.22796231297945144,0.2648377206711484,0.27796314708494746,0.10540139364089657,0.18901022304832713,0.5247444237918215,-0.11614861931010435,0.5976060275300443,12196.0,0.0430686216346018,0.29748236003614675,0.33688657464262906,0.22955949194678668,0.2638257240814199,0.26961983646719784,0.09831915134152656,0.19860996583814347,0.5153728354340912,-0.16258118471672872,0.551401616555506,11918.0,0.04305464739479284
bce,1701,deberta-v3-base,standard,8,8,5,0.5,0.01,1.0,2,0.0,0.0,0.0,0.30014412472633173,0.34835432953244033,0.22884096541504556,0.2845076687227658,0.14230133004306172,0.05375219988258713,0.17832957110609482,0.49473288186606473,-0.07169572991897216,0.6013667230531874,11472.0,0.04051190778879566,0.29376666084554354,0.3434054716210698,0.23144312852735652,0.27945112350723494,0.13842230956077592,0.050716616326182185,0.1938631403261009,0.4932597252535627,-0.1302412884034384,0.5568815771762252,11153.0,0.04029102889697302
bce,1701,deberta-v3-base,f1,8,8,5,0.5,0.01,1.0,2,0.0,0.0,0.0,0.30014412472633173,0.34835432953244033,0.22884096541504556,0.2845076687227658,0.14230133004306172,0.05375219988258713,0.17832957110609482,0.49473288186606473,-0.07169572991897216,0.6013667230531874,11472.0,0.04051190778879566,0.29376666084554354,0.3434054716210698,0.23144312852735652,0.27945112350723494,0.13842230956077592,0.050716616326182185,0.1938631403261009,0.4932597252535627,-0.1302412884034384,0.5568815771762252,11153.0,0.04029102889697302
bce,1701,deberta-v3-base,pareto_99,8,8,5,0.5,0.01,1.0,2,0.1,0.2,0.0,0.29811554874884905,0.3470082049229538,0.22651176116884003,0.27820078631351625,0.29878492442985666,0.11315594307094919,0.1823239347578708,0.49108610443798206,-0.0939288280917727,0.5794812111040801,11377.0,0.04017642738085148,0.2945307313325027,0.3445098541080112,0.22902949916261975,0.2773434154463456,0.2892318460569346,0.10708019388644384,0.1966110464364248,0.4904928211098176,-0.14549797262665168,0.5416058949195908,11096.0,0.04008511222458645
bce,1701,deberta-v3-base,pareto_98,8,8,5,0.5,0.01,1.0,2,0.1,0.2,0.0,0.29811554874884905,0.3470082049229538,0.22651176116884003,0.27820078631351625,0.29878492442985666,0.11315594307094919,0.1823239347578708,0.49108610443798206,-0.0939288280917727,0.5794812111040801,11377.0,0.04017642738085148,0.2945307313325027,0.3445098541080112,0.22902949916261975,0.2773434154463456,0.2892318460569346,0.10708019388644384,0.1966110464364248,0.4904928211098176,-0.14549797262665168,0.5416058949195908,11096.0,0.04008511222458645
bce,1701,deberta-v3-base,pareto_95,8,8,5,0.5,0.01,1.0,2,0.1,0.2,0.0,0.29811554874884905,0.3470082049229538,0.22651176116884003,0.27820078631351625,0.29878492442985666,0.11315594307094919,0.1823239347578708,0.49108610443798206,-0.0939288280917727,0.5794812111040801,11377.0,0.04017642738085148,0.2945307313325027,0.3445098541080112,0.22902949916261975,0.2773434154463456,0.2892318460569346,0.10708019388644384,0.1966110464364248,0.4904928211098176,-0.14549797262665168,0.5416058949195908,11096.0,0.04008511222458645
