method,model_slug,objective,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_count,test_micro_f1_mean,test_micro_f1_std,test_micro_f1_count,test_macro_auprc_mean,test_macro_auprc_std,test_macro_auprc_count,test_micro_auprc_mean,test_micro_auprc_std,test_micro_auprc_count,test_circular_error_mean,test_circular_error_std,test_circular_error_count,test_opposite_value_activation_mean,test_opposite_value_activation_std,test_opposite_value_activation_count,test_neighbor_error_rate_mean,test_neighbor_error_rate_std,test_neighbor_error_rate_count,test_opposite_error_rate_mean,test_opposite_error_rate_std,test_opposite_error_rate_count,test_confusion_distance_correlation_mean,test_confusion_distance_correlation_std,test_confusion_distance_correlation_count,test_geometry_cost_mean,test_geometry_cost_std,test_geometry_cost_count,test_n_predictions_mean,test_n_predictions_std,test_n_predictions_count,test_prediction_rate_mean,test_prediction_rate_std,test_prediction_rate_count
empirical_structure,deberta-v3-base,f1,0.29444142584556426,0.005295571719435776,5,0.3402148687424634,0.004832899875330306,5,0.23557286574268693,0.007447187938149544,5,0.2834907587898433,0.010540487432846234,5,0.12690555384943172,0.010081704061878367,5,0.04558614993537301,0.003820271364138204,5,0.1925538698160563,0.0050290776951346155,5,0.5129742297995341,0.014163773017514364,5,-0.1431945345715404,0.007475885064035741,5,0.6854659335843388,0.020188048623856193,5,11848.0,900.8323928456392,5,0.042801767270809324,0.0032543229598738462,5
empirical_structure,deberta-v3-base,pareto_95,0.2916472963239961,0.006808524381188819,5,0.34379338049772845,0.0045930314027877485,5,0.2350340136485317,0.008008152849446974,5,0.2805310531216857,0.011397574656051988,5,0.10125582670356681,0.010056297358707802,5,0.03519912886635494,0.004042089696114039,5,0.1952751293599742,0.00431016879720782,5,0.5242619001488217,0.014801932698834584,5,-0.1700441872140664,0.009708546028702863,5,0.6607168557187435,0.021955283820055446,5,9937.6,383.47790027588286,5,0.0359003074299793,0.0013853419852386042,5
empirical_structure,deberta-v3-base,pareto_98,0.2946965794596007,0.00550544256728133,5,0.34151254849175167,0.004847311924003178,5,0.23557286574268693,0.007447187938149544,5,0.2834907587898433,0.010540487432846234,5,0.12690555384943172,0.010081704061878367,5,0.04558614993537301,0.003820271364138204,5,0.1931164833086077,0.004132995511885971,5,0.5138890646555655,0.012659018887024798,5,-0.16706185357463882,0.012317711700844995,5,0.6863807684403701,0.020063499121419335,5,11414.2,751.5102793708145,5,0.0412346330167515,0.0027148858946025077,5
empirical_structure,deberta-v3-base,pareto_99,0.2946965794596007,0.00550544256728133,5,0.34151254849175167,0.004847311924003178,5,0.23557286574268693,0.007447187938149544,5,0.2834907587898433,0.010540487432846234,5,0.12690555384943172,0.010081704061878367,5,0.04558614993537301,0.003820271364138204,5,0.1931164833086077,0.004132995511885971,5,0.5138890646555655,0.012659018887024798,5,-0.16706185357463882,0.012317711700844995,5,0.6863807684403701,0.020063499121419335,5,11414.2,751.5102793708145,5,0.0412346330167515,0.0027148858946025077,5
empirical_structure,deberta-v3-base,standard,0.29452100526045455,0.005274333391777527,5,0.3401271899136434,0.00478287455262277,5,0.23557286574268693,0.007447187938149544,5,0.2834907587898433,0.010540487432846234,5,0.12690555384943172,0.010081704061878367,5,0.04558614993537301,0.003820271364138204,5,0.19261626834478965,0.005061604671973643,5,0.5129968032650277,0.014128435225311287,5,-0.13967872744022558,0.009538808332212337,5,0.6854885070498324,0.020161418748975493,5,11914.8,773.8483055483163,5,0.04304308716055359,0.002795583649306987,5
random_geoloss,deberta-v3-base,f1,0.2948860389099229,0.005817096232201606,5,0.3438677466129148,0.008484232916826588,5,0.23528931893471072,0.005930748558184144,5,0.28559252114414224,0.008402594875908461,5,0.12728686705152964,0.010528751691592536,5,0.046316546404066204,0.0037986112908188286,5,0.18820080946760948,0.004149335153515688,5,0.5081290738364754,0.005943482217098253,5,-0.12332232548313968,0.011628863186670819,5,0.6817324872920713,0.00923032135602405,5,11551.0,381.65036355282035,5,0.04172883303047928,0.0013787398750512827,5
random_geoloss,deberta-v3-base,pareto_95,0.29109652358000543,0.005169672077014918,5,0.3458580388091453,0.007492562168066157,5,0.2345596501808917,0.006705899517286587,5,0.28291470091200893,0.00940682104081973,5,0.10138579624192626,0.009583616524550342,5,0.035709338967217716,0.003681963353110141,5,0.19091661454899841,0.0030262137172244294,5,0.5187788461553722,0.00556424134251637,5,-0.15347141255138008,0.011977912690880093,5,0.6558739813645161,0.008257262549036406,5,9732.8,610.8900883137652,5,0.03516045243866754,0.002206885161044053,5
random_geoloss,deberta-v3-base,pareto_98,0.29388568591326986,0.006729373629967116,5,0.3441761338270761,0.009036179161039607,5,0.23528931893471072,0.005930748558184144,5,0.28559252114414224,0.008402594875908461,5,0.12728686705152964,0.010528751691592536,5,0.046316546404066204,0.0037986112908188286,5,0.18912858837313878,0.005059281652979325,5,0.5101804150232108,0.0063283584635988495,5,-0.15315474983052127,0.0146030385057381,5,0.6837838284788066,0.00952688660389253,5,11002.2,347.9923849741542,5,0.039746252858448544,0.0012571479636797475,5
random_geoloss,deberta-v3-base,pareto_99,0.2937333972104351,0.006697329179476186,5,0.3438732930087445,0.008983832129650487,5,0.23528931893471072,0.005930748558184144,5,0.28559252114414224,0.008402594875908461,5,0.12728686705152964,0.010528751691592536,5,0.046316546404066204,0.0037986112908188286,5,0.18921399788448734,0.005018408076066079,5,0.5090673655402108,0.005978992683215505,5,-0.1477579142853273,0.020887252045970413,5,0.6826707789958067,0.009701560948058434,5,11121.8,554.4147364563825,5,0.04017831661314038,0.002002863818476804,5
random_geoloss,deberta-v3-base,standard,0.2948860389099229,0.005817096232201606,5,0.3438677466129148,0.008484232916826588,5,0.23528931893471072,0.005930748558184144,5,0.28559252114414224,0.008402594875908461,5,0.12728686705152964,0.010528751691592536,5,0.046316546404066204,0.0037986112908188286,5,0.18820080946760948,0.004149335153515688,5,0.5081290738364754,0.005943482217098253,5,-0.12332232548313968,0.011628863186670819,5,0.6817324872920713,0.00923032135602405,5,11551.0,381.65036355282035,5,0.04172883303047928,0.0013787398750512827,5
schwartz_geoloss,deberta-v3-base,f1,0.29610556282353684,0.004912622372888366,5,0.3425098577779139,0.008323576613463408,5,0.23560300062450054,0.005131514694807451,5,0.2885080764723772,0.004389171979466297,5,0.13045121737087195,0.009574837904667163,5,0.04696250620198581,0.004034669262997119,5,0.1908277240388507,0.00675853832972816,5,0.5094455550554502,0.008393825630771658,5,-0.1361975486658445,0.02201703671297326,5,0.686859278628308,0.019092563420315244,5,11595.8,821.1006028496142,5,0.04189067630982873,0.0029662860321649585,5
schwartz_geoloss,deberta-v3-base,pareto_95,0.2896371574736537,0.004339746087082972,5,0.3172066116993344,0.06239401947102189,5,0.23378311464970264,0.004901536987863518,5,0.28355453627867744,0.004531767755368195,5,0.09363423381664152,0.006043087561640609,5,0.032170343480255735,0.002581488541212952,5,0.18468205435957785,0.0196493021945506,5,0.5325875406161485,0.01888708534487648,5,-0.1451867855690802,0.05455341619073454,5,0.6583921179130459,0.025547186104256922,5,12146.8,6354.882902146978,5,0.04388120414289894,0.022957479659937566,5
schwartz_geoloss,deberta-v3-base,pareto_98,0.2938421248004892,0.004952994830004154,5,0.34342104351104785,0.007498039887272656,5,0.23551633852925452,0.005132692807968856,5,0.28816895545247656,0.004865035173221378,5,0.1262681093165013,0.012970971520639597,5,0.04527974538092189,0.0056715051406117205,5,0.1909112266726993,0.007129270914988771,5,0.5129273148740477,0.009838298308643202,5,-0.15328621569068215,0.009465819599243329,5,0.6844751695714708,0.02338967482848386,5,11068.0,1000.144989489024,5,0.03998396017499305,0.003613096984906757,5
schwartz_geoloss,deberta-v3-base,pareto_99,0.29561767362751945,0.003842513385377395,5,0.3424578367578697,0.008212136030513793,5,0.23560300062450054,0.005131514694807451,5,0.2885080764723772,0.004389171979466297,5,0.13045121737087195,0.009574837904667163,5,0.04696250620198581,0.004034669262997119,5,0.19105656051411463,0.006849650505254368,5,0.5097221700462603,0.0084931758464129,5,-0.139444689927597,0.024838693628121723,5,0.687135893619118,0.018826304243985105,5,11525.8,833.5593560149152,5,0.04163779618584522,0.0030112941899524052,5
schwartz_geoloss,deberta-v3-base,standard,0.2958487541078258,0.005095608729637377,5,0.34209609429666105,0.008560769722481522,5,0.23560300062450054,0.005131514694807451,5,0.2885080764723772,0.004389171979466297,5,0.13045121737087195,0.009574837904667163,5,0.04696250620198581,0.004034669262997119,5,0.1907332872793761,0.006785579420974809,5,0.5093620147174903,0.008449679158248928,5,-0.1293945779091211,0.020413072604993976,5,0.6867757382903481,0.01911372368653117,5,11701.2,721.698829152438,5,0.0422714415250839,0.002607189848497488,5
schwartz_geosmooth,deberta-v3-base,f1,0.16509446856712606,0.0062719168086641545,5,0.16569750962714241,0.010605279339138502,5,0.11818698237138621,0.0052921220486650085,5,0.13411022863883557,0.008001313236830423,5,0.6987705695713788,0.07581791277438896,5,0.22914539378025528,0.02609374315791451,5,0.4208329237545959,0.025393899325466644,5,0.2953506970479946,0.009551632048354476,5,-0.3946882413555583,0.03222240763089416,5,1.2232666603996285,0.10822046824978152,5,27675.2,2986.2853514023072,5,0.09997868581812139,0.010788174427325166,5
schwartz_geosmooth,deberta-v3-base,pareto_95,0.16465575065338708,0.00733995904112221,5,0.16342312320339467,0.01218895359089257,5,0.118483884368158,0.005134713828427069,5,0.13447446881762368,0.007693265966145208,5,0.6143897411517384,0.11427041883051094,5,0.19852590930493005,0.036097499197378584,5,0.4158816229975967,0.024611832075394396,5,0.30222033212081945,0.010890504702815365,5,-0.3828755404944967,0.030176209151571563,5,1.1151359825774878,0.15064818050225243,5,27539.8,2961.34187489388,5,0.09948954340687328,0.01069806429258187,5
schwartz_geosmooth,deberta-v3-base,pareto_98,0.16520375539079588,0.006377215695409981,5,0.16437477112561524,0.010646293660382476,5,0.11835350636341357,0.0053844459250644025,5,0.13439697261011388,0.007815278955259896,5,0.6455551393886283,0.12556600684102132,5,0.21009627103195494,0.04421050975135204,5,0.4168071257978374,0.023188526002062067,5,0.3007314452721968,0.011055826720176104,5,-0.3855244364839106,0.032431728487888334,5,1.15638285569278,0.16882670665597943,5,27631.4,3106.5046756765073,5,0.09982045511197171,0.011222475536291937,5
schwartz_geosmooth,deberta-v3-base,pareto_99,0.1651295834921921,0.006330503279186658,5,0.1656359916119556,0.010547783363289539,5,0.11818698237138621,0.0052921220486650085,5,0.13411022863883557,0.008001313236830423,5,0.6987705695713788,0.07581791277438896,5,0.22914539378025528,0.02609374315791451,5,0.4207243523293892,0.025306343042086225,5,0.29518961599392246,0.009315513452231533,5,-0.3935125040144299,0.030600127010289416,5,1.2231055793455563,0.1079447644434182,5,27720.2,2982.549697825671,5,0.10014125161211078,0.010774679105330604,5
schwartz_geosmooth,deberta-v3-base,standard,0.1651295834921921,0.006330503279186658,5,0.1656359916119556,0.010547783363289539,5,0.11818698237138621,0.0052921220486650085,5,0.13411022863883557,0.008001313236830423,5,0.6987705695713788,0.07581791277438896,5,0.22914539378025528,0.02609374315791451,5,0.4207243523293892,0.025306343042086225,5,0.29518961599392246,0.009315513452231533,5,-0.3935125040144299,0.030600127010289416,5,1.2231055793455563,0.1079447644434182,5,27720.2,2982.549697825671,5,0.10014125161211078,0.010774679105330604,5
