method,seed,base_config,params_json,gamma_pos,gamma_neg,clip,lambda_geo,tau,random_seed,best_macro_f1,collapsed,run_name
asl,1701,configs/deberta_asl.yaml,"{""clip"":0.1,""gamma_neg"":2.0,""gamma_pos"":0.0}",0.0,2.0,0.1,,,,0.22494409073731744,False,tune_deberta_asl_seed1701_gamma_pos0p0_gamma_neg2p0_clip0p1
asl,1701,configs/deberta_asl.yaml,"{""clip"":0.0,""gamma_neg"":3.0,""gamma_pos"":0.0}",0.0,3.0,0.0,,,,0.2214270603602575,False,tune_deberta_asl_seed1701_gamma_pos0p0_gamma_neg3p0_clip0p0
asl,1701,configs/deberta_asl.yaml,"{""clip"":0.03,""gamma_neg"":3.0,""gamma_pos"":0.0}",0.0,3.0,0.03,,,,0.24602416369250077,False,tune_deberta_asl_seed1701_gamma_pos0p0_gamma_neg3p0_clip0p03
asl,1701,configs/deberta_asl.yaml,"{""clip"":0.05,""gamma_neg"":3.0,""gamma_pos"":0.0}",0.0,3.0,0.05,,,,0.21984084617713792,False,tune_deberta_asl_seed1701_gamma_pos0p0_gamma_neg3p0_clip0p05
asl,1701,configs/deberta_asl.yaml,"{""clip"":0.1,""gamma_neg"":3.0,""gamma_pos"":0.0}",0.0,3.0,0.1,,,,0.2063828262066175,False,tune_deberta_asl_seed1701_gamma_pos0p0_gamma_neg3p0_clip0p1
asl,1701,configs/deberta_asl.yaml,"{""clip"":0.0,""gamma_neg"":4.0,""gamma_pos"":0.0}",0.0,4.0,0.0,,,,0.24169469112011205,False,tune_deberta_asl_seed1701_gamma_pos0p0_gamma_neg4p0_clip0p0
asl,1701,configs/deberta_asl.yaml,"{""clip"":0.03,""gamma_neg"":4.0,""gamma_pos"":0.0}",0.0,4.0,0.03,,,,0.19209165031735115,False,tune_deberta_asl_seed1701_gamma_pos0p0_gamma_neg4p0_clip0p03
asl,1701,configs/deberta_asl.yaml,"{""clip"":0.05,""gamma_neg"":4.0,""gamma_pos"":0.0}",0.0,4.0,0.05,,,,0.21775006681395437,False,tune_deberta_asl_seed1701_gamma_pos0p0_gamma_neg4p0_clip0p05
asl,1701,configs/deberta_asl.yaml,"{""clip"":0.1,""gamma_neg"":4.0,""gamma_pos"":0.0}",0.0,4.0,0.1,,,,0.2061736903068025,False,tune_deberta_asl_seed1701_gamma_pos0p0_gamma_neg4p0_clip0p1
asl,1701,configs/deberta_asl.yaml,"{""clip"":0.0,""gamma_neg"":5.0,""gamma_pos"":0.0}",0.0,5.0,0.0,,,,0.12728681311670728,False,tune_deberta_asl_seed1701_gamma_pos0p0_gamma_neg5p0_clip0p0
asl,1701,configs/deberta_asl.yaml,"{""clip"":0.03,""gamma_neg"":5.0,""gamma_pos"":0.0}",0.0,5.0,0.03,,,,0.18430804749009186,False,tune_deberta_asl_seed1701_gamma_pos0p0_gamma_neg5p0_clip0p03
asl,1701,configs/deberta_asl.yaml,"{""clip"":0.05,""gamma_neg"":5.0,""gamma_pos"":0.0}",0.0,5.0,0.05,,,,0.16200878398813784,False,tune_deberta_asl_seed1701_gamma_pos0p0_gamma_neg5p0_clip0p05
asl,1701,configs/deberta_asl.yaml,"{""clip"":0.1,""gamma_neg"":5.0,""gamma_pos"":0.0}",0.0,5.0,0.1,,,,0.14923108554414208,False,tune_deberta_asl_seed1701_gamma_pos0p0_gamma_neg5p0_clip0p1
