method,seed,model_slug,family,objective,comparison,control_geometry,metric,higher_is_better,delta_schwartz_minus_control,delta_ci_low,delta_ci_high,schwartz_improvement_over_control,improvement_ci_low,improvement_ci_high,p_value_two_sided,n_samples,n_iterations,bootstrap_seed,significant_0.05
bce,11,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,micro_f1,True,0.00020717939051162482,-0.001259075083994221,0.001587973541570907,0.00020717939051162482,-0.001259075083994221,0.001587973541570907,0.765,14569,2000,42,False
bce,11,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,opposite_error_rate,False,-0.003060376025324718,-0.0056213525261530175,-0.0007172338636855048,0.003060376025324718,0.0007172338636855048,0.0056213525261530175,0.008,14569,2000,42,True
bce,11,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,decoder_geometry_cost,False,-0.017297634689364294,-0.023064190762667903,-0.011265701063029172,0.017297634689364294,0.011265701063029172,0.023064190762667903,0.0,14569,2000,42,True
bce,42,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,macro_f1,True,0.0009777146897839706,-0.0006891878477915531,0.002560351672470965,0.0009777146897839706,-0.0006891878477915531,0.002560351672470965,0.227,14569,2000,42,False
bce,42,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,micro_f1,True,0.0002626367220946446,-0.0009561369583495529,0.001495704559555682,0.0002626367220946446,-0.0009561369583495529,0.001495704559555682,0.697,14569,2000,42,False
bce,42,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,opposite_error_rate,False,-0.0024611845776804087,-0.004596533634060382,-0.00042328519574944603,0.0024611845776804087,0.00042328519574944603,0.004596533634060382,0.019,14569,2000,42,True
bce,42,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,decoder_geometry_cost,False,-0.01434448343691419,-0.019542784848069886,-0.009193014950595827,0.01434448343691419,0.009193014950595827,0.019542784848069886,0.0,14569,2000,42,True
bce,42,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,macro_f1,True,0.0010937997331058047,-0.0005334700166403902,0.0026235434342459837,0.0010937997331058047,-0.0005334700166403902,0.0026235434342459837,0.163,14569,2000,42,False
bce,42,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,micro_f1,True,0.0005502383062927496,-0.0005961731872848375,0.0017031709703539104,0.0005502383062927496,-0.0005961731872848375,0.0017031709703539104,0.359,14569,2000,42,False
bce,42,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,opposite_error_rate,False,-0.0031894724401108077,-0.005290591262647598,-0.0011052990681072183,0.0031894724401108077,0.0011052990681072183,0.005290591262647598,0.002,14569,2000,42,True
bce,42,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,decoder_geometry_cost,False,-0.015672032423242666,-0.020739719621329637,-0.010291877546190657,0.015672032423242666,0.010291877546190657,0.020739719621329637,0.0,14569,2000,42,True
bce,1701,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,macro_f1,True,0.0008971389442009592,-0.0006428655527515384,0.0024819665361730634,0.0008971389442009592,-0.0006428655527515384,0.0024819665361730634,0.269,14569,2000,42,False
bce,1701,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,micro_f1,True,0.000913794994710726,-0.00047094205887025233,0.002351731434719223,0.000913794994710726,-0.00047094205887025233,0.002351731434719223,0.223,14569,2000,42,False
bce,1701,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,opposite_error_rate,False,-0.004637681422321072,-0.006984372445061818,-0.0024328098960326953,0.004637681422321072,0.0024328098960326953,0.006984372445061818,0.0,14569,2000,42,True
bce,1701,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,decoder_geometry_cost,False,-0.015588351700197678,-0.020893218858523285,-0.01000643245609014,0.015588351700197678,0.01000643245609014,0.020893218858523285,0.0,14569,2000,42,True
bce,1701,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,macro_f1,True,0.0009051615858774453,-0.0006298044294942518,0.0024622726521509315,0.0009051615858774453,-0.0006298044294942518,0.0024622726521509315,0.264,14569,2000,42,False
bce,1701,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,micro_f1,True,0.0008993272522168083,-0.00047472227849951616,0.0023315615845757864,0.0008993272522168083,-0.00047472227849951616,0.0023315615845757864,0.227,14569,2000,42,False
bce,1701,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,opposite_error_rate,False,-0.004510423536515928,-0.006844485062208844,-0.002321261431096107,0.004510423536515928,0.002321261431096107,0.006844485062208844,0.0,14569,2000,42,True
bce,1701,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,decoder_geometry_cost,False,-0.015338118524852118,-0.020588522269916563,-0.009739061793101437,0.015338118524852118,0.009739061793101437,0.020588522269916563,0.0,14569,2000,42,True
bce,1984,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,macro_f1,True,0.0015506207852704623,-0.00048628208573129326,0.0036424351881379742,0.0015506207852704623,-0.00048628208573129326,0.0036424351881379742,0.141,14569,2000,42,False
bce,1984,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,micro_f1,True,-0.00037009272507532165,-0.0017328909860154494,0.001014199245238024,-0.00037009272507532165,-0.0017328909860154494,0.001014199245238024,0.611,14569,2000,42,False
bce,1984,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,opposite_error_rate,False,4.3207729633842895e-05,-0.0023109869496094003,0.002351256335109965,-4.3207729633842895e-05,-0.002351256335109965,0.0023109869496094003,0.959,14569,2000,42,False
bce,1984,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,decoder_geometry_cost,False,-0.012871741692071725,-0.01795434495947029,-0.007362367189000035,0.012871741692071725,0.007362367189000035,0.01795434495947029,0.0,14569,2000,42,True
bce,1984,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,macro_f1,True,0.0015506207852704623,-0.00048628208573129326,0.0036424351881379742,0.0015506207852704623,-0.00048628208573129326,0.0036424351881379742,0.141,14569,2000,42,False
bce,1984,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,micro_f1,True,-0.00037009272507532165,-0.0017328909860154494,0.001014199245238024,-0.00037009272507532165,-0.0017328909860154494,0.001014199245238024,0.611,14569,2000,42,False
bce,1984,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,opposite_error_rate,False,4.3207729633842895e-05,-0.0023109869496094003,0.002351256335109965,-4.3207729633842895e-05,-0.002351256335109965,0.0023109869496094003,0.959,14569,2000,42,False
bce,1984,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,decoder_geometry_cost,False,-0.012871741692071725,-0.01795434495947029,-0.007362367189000035,0.012871741692071725,0.007362367189000035,0.01795434495947029,0.0,14569,2000,42,True
