method,seed,model_slug,geometry,family,objective,top_k,max_candidates,max_labels,threshold_factor,min_prob,marginal_temperature,neighbor_steps,random_seed,empirical_metric,alpha_neighbor,beta_opposite,gamma_cardinality,validation_macro_f1,validation_micro_f1,validation_macro_auprc,validation_micro_auprc,validation_circular_error,validation_opposite_value_activation,validation_neighbor_error_rate,validation_opposite_error_rate,validation_confusion_distance_correlation,validation_decoder_geometry_cost,validation_n_predictions,validation_prediction_rate,test_macro_f1,test_micro_f1,test_macro_auprc,test_micro_auprc,test_circular_error,test_opposite_value_activation,test_neighbor_error_rate,test_opposite_error_rate,test_confusion_distance_correlation,test_decoder_geometry_cost,test_n_predictions,test_prediction_rate
bce,7,deberta-v3-base,schwartz,opposite_only,standard,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,0.3045814004479097,0.3556668753913588,0.23252428239654177,0.2871738241749431,0.1480912471355951,0.05745671938918532,0.17013478363679357,0.5277843461811302,-0.07894363128204214,0.6189754985358816,12150.0,0.04290617848970252,0.2936736627630485,0.3475988561285869,0.23795926960713357,0.28730297439899594,0.14392374339356276,0.05411234585142704,0.1912719403702813,0.5159894205337822,-0.12424872169013074,0.5830126392139328,11843.0,0.0427837044048105
bce,7,deberta-v3-base,schwartz,opposite_only,f1,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,0.3045814004479097,0.3556668753913588,0.23252428239654177,0.2871738241749431,0.1480912471355951,0.05745671938918532,0.17013478363679357,0.5277843461811302,-0.07894363128204214,0.6189754985358816,12150.0,0.04290617848970252,0.2936736627630485,0.3475988561285869,0.23795926960713357,0.28730297439899594,0.14392374339356276,0.05411234585142704,0.1912719403702813,0.5159894205337822,-0.12424872169013074,0.5830126392139328,11843.0,0.0427837044048105
bce,7,deberta-v3-base,schwartz,opposite_only,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.2,0.0,0.30290242110289417,0.3550364963503649,0.2287352631157964,0.2773073783181962,0.3029972112941077,0.11814718779475727,0.17006392473766735,0.528163068387408,-0.08844446981213465,0.6097825233129407,11939.0,0.04216105884679493,0.29400025507111927,0.34857000746083067,0.23460556672013322,0.280796744138504,0.2958150887272184,0.11251851543212688,0.19076206812055868,0.516049987748101,-0.132051169195758,0.5747608866729017,11666.0,0.04214427894845219
bce,7,deberta-v3-base,schwartz,opposite_only,pareto_98,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.2,0.0,0.30290242110289417,0.3550364963503649,0.2287352631157964,0.2773073783181962,0.3029972112941077,0.11814718779475727,0.17006392473766735,0.528163068387408,-0.08844446981213465,0.6097825233129407,11939.0,0.04216105884679493,0.29400025507111927,0.34857000746083067,0.23460556672013322,0.280796744138504,0.2958150887272184,0.11251851543212688,0.19076206812055868,0.516049987748101,-0.132051169195758,0.5747608866729017,11666.0,0.04214427894845219
bce,7,deberta-v3-base,schwartz,opposite_only,pareto_95,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.2,0.0,0.30290242110289417,0.3550364963503649,0.2287352631157964,0.2773073783181962,0.3029972112941077,0.11814718779475727,0.17006392473766735,0.528163068387408,-0.08844446981213465,0.6097825233129407,11939.0,0.04216105884679493,0.29400025507111927,0.34857000746083067,0.23460556672013322,0.280796744138504,0.2958150887272184,0.11251851543212688,0.19076206812055868,0.516049987748101,-0.132051169195758,0.5747608866729017,11666.0,0.04214427894845219
bce,7,deberta-v3-base,schwartz,neighbor_opposite,standard,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,0.3045814004479097,0.3556668753913588,0.23252428239654177,0.2871738241749431,0.1480912471355951,0.05745671938918532,0.17013478363679357,0.5277843461811302,-0.07894363128204214,0.6189754985358816,12150.0,0.04290617848970252,0.2936736627630485,0.3475988561285869,0.23795926960713357,0.28730297439899594,0.14392374339356276,0.05411234585142704,0.1912719403702813,0.5159894205337822,-0.12424872169013074,0.5830126392139328,11843.0,0.0427837044048105
bce,7,deberta-v3-base,schwartz,neighbor_opposite,f1,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,0.3045814004479097,0.3556668753913588,0.23252428239654177,0.2871738241749431,0.1480912471355951,0.05745671938918532,0.17013478363679357,0.5277843461811302,-0.07894363128204214,0.6189754985358816,12150.0,0.04290617848970252,0.2936736627630485,0.3475988561285869,0.23795926960713357,0.28730297439899594,0.14392374339356276,0.05411234585142704,0.1912719403702813,0.5159894205337822,-0.12424872169013074,0.5830126392139328,11843.0,0.0427837044048105
bce,7,deberta-v3-base,schwartz,neighbor_opposite,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,0.30216519290594374,0.3542160514730782,0.2288535265565217,0.27706447080727387,0.30734291690070104,0.11968691813276754,0.1728777235385165,0.525657816406715,-0.09199248659204233,0.6065430533531893,12060.0,0.04258835494533435,0.2943628315106296,0.34822089522775507,0.23512684013224416,0.28064444075754685,0.30010697867988234,0.11396784859500882,0.19431051108968178,0.5130183220829315,-0.13837182959361163,0.5689570035790017,11824.0,0.04271506551401498
bce,7,deberta-v3-base,schwartz,neighbor_opposite,pareto_98,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,0.30216519290594374,0.3542160514730782,0.2288535265565217,0.27706447080727387,0.30734291690070104,0.11968691813276754,0.1728777235385165,0.525657816406715,-0.09199248659204233,0.6065430533531893,12060.0,0.04258835494533435,0.2943628315106296,0.34822089522775507,0.23512684013224416,0.28064444075754685,0.30010697867988234,0.11396784859500882,0.19431051108968178,0.5130183220829315,-0.13837182959361163,0.5689570035790017,11824.0,0.04271506551401498
bce,7,deberta-v3-base,schwartz,neighbor_opposite,pareto_95,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,0.30216519290594374,0.3542160514730782,0.2288535265565217,0.27706447080727387,0.30734291690070104,0.11968691813276754,0.1728777235385165,0.525657816406715,-0.09199248659204233,0.6065430533531893,12060.0,0.04258835494533435,0.2943628315106296,0.34822089522775507,0.23512684013224416,0.28064444075754685,0.30010697867988234,0.11396784859500882,0.19431051108968178,0.5130183220829315,-0.13837182959361163,0.5689570035790017,11824.0,0.04271506551401498
bce,7,deberta-v3-base,schwartz,full,standard,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,0.3045814004479097,0.3556668753913588,0.23252428239654177,0.2871738241749431,0.1480912471355951,0.05745671938918532,0.17013478363679357,0.5277843461811302,-0.07894363128204214,0.6189754985358816,12150.0,0.04290617848970252,0.2936736627630485,0.3475988561285869,0.23795926960713357,0.28730297439899594,0.14392374339356276,0.05411234585142704,0.1912719403702813,0.5159894205337822,-0.12424872169013074,0.5830126392139328,11843.0,0.0427837044048105
bce,7,deberta-v3-base,schwartz,full,f1,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,0.3045814004479097,0.3556668753913588,0.23252428239654177,0.2871738241749431,0.1480912471355951,0.05745671938918532,0.17013478363679357,0.5277843461811302,-0.07894363128204214,0.6189754985358816,12150.0,0.04290617848970252,0.2936736627630485,0.3475988561285869,0.23795926960713357,0.28730297439899594,0.14392374339356276,0.05411234585142704,0.1912719403702813,0.5159894205337822,-0.12424872169013074,0.5830126392139328,11843.0,0.0427837044048105
