method,model_slug,geometry,family,objective,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_count,test_micro_f1_mean,test_micro_f1_std,test_micro_f1_count,test_macro_auprc_mean,test_macro_auprc_std,test_macro_auprc_count,test_micro_auprc_mean,test_micro_auprc_std,test_micro_auprc_count,test_circular_error_mean,test_circular_error_std,test_circular_error_count,test_opposite_value_activation_mean,test_opposite_value_activation_std,test_opposite_value_activation_count,test_neighbor_error_rate_mean,test_neighbor_error_rate_std,test_neighbor_error_rate_count,test_opposite_error_rate_mean,test_opposite_error_rate_std,test_opposite_error_rate_count,test_confusion_distance_correlation_mean,test_confusion_distance_correlation_std,test_confusion_distance_correlation_count,test_decoder_geometry_cost_mean,test_decoder_geometry_cost_std,test_decoder_geometry_cost_count,test_n_predictions_mean,test_n_predictions_std,test_n_predictions_count,test_prediction_rate_mean,test_prediction_rate_std,test_prediction_rate_count
bce,deberta-v3-base,empirical,opposite_only,f1,0.2933680476244247,0.003682143929378911,5,0.34248706368544946,0.00600600255460703,5,0.23534219740720985,0.006736963419707227,5,0.2839753042332053,0.010887489372085115,5,0.13419525118917558,0.013770527493124183,5,0.048789045338924204,0.005130590005710539,5,0.19147695574612295,0.0038269087259386217,5,0.5091620708691835,0.009644823153172178,5,-0.13726488510288531,0.009701293401326427,5,0.5633741415124212,0.01201037101338593,5,11717.8,477.26795408868605,5,0.0423314102402,0.001724165420047203,5
bce,deberta-v3-base,empirical,opposite_only,pareto_95,0.293203822268366,0.0035544235133558254,5,0.3432049057879715,0.0070758576513410346,5,0.23458810898366472,0.005298174696609083,5,0.28158796937291497,0.006968791382240606,5,0.1631426246518582,0.0539009293625746,5,0.060378048696543084,0.02209283390481698,5,0.19069497277879816,0.0055008773409474685,5,0.5119516761659899,0.011720850035956772,5,-0.1386558930305885,0.010640791648047512,5,0.5639907559141994,0.011544228687311687,5,11511.8,794.6330599717081,5,0.04158722016104851,0.00287067009610062,5
bce,deberta-v3-base,empirical,opposite_only,pareto_98,0.2933680476244247,0.003682143929378911,5,0.34248706368544946,0.00600600255460703,5,0.23534219740720985,0.006736963419707227,5,0.2839753042332053,0.010887489372085115,5,0.13419525118917558,0.013770527493124183,5,0.048789045338924204,0.005130590005710539,5,0.19147695574612295,0.0038269087259386217,5,0.5091620708691835,0.009644823153172178,5,-0.13726488510288531,0.009701293401326427,5,0.5633741415124212,0.01201037101338593,5,11717.8,477.26795408868605,5,0.0423314102402,0.001724165420047203,5
bce,deberta-v3-base,empirical,opposite_only,pareto_99,0.2933680476244247,0.003682143929378911,5,0.34248706368544946,0.00600600255460703,5,0.23534219740720985,0.006736963419707227,5,0.2839753042332053,0.010887489372085115,5,0.13419525118917558,0.013770527493124183,5,0.048789045338924204,0.005130590005710539,5,0.19147695574612295,0.0038269087259386217,5,0.5091620708691835,0.009644823153172178,5,-0.13726488510288531,0.009701293401326427,5,0.5633741415124212,0.01201037101338593,5,11717.8,477.26795408868605,5,0.0423314102402,0.001724165420047203,5
bce,deberta-v3-base,empirical,opposite_only,standard,0.2933680476244247,0.003682143929378911,5,0.34248706368544946,0.00600600255460703,5,0.23534219740720985,0.006736963419707227,5,0.2839753042332053,0.010887489372085115,5,0.13419525118917558,0.013770527493124183,5,0.048789045338924204,0.005130590005710539,5,0.19147695574612295,0.0038269087259386217,5,0.5091620708691835,0.009644823153172178,5,-0.13726488510288531,0.009701293401326427,5,0.5633741415124212,0.01201037101338593,5,11717.8,477.26795408868605,5,0.0423314102402,0.001724165420047203,5
bce,deberta-v3-base,random,cardinality_only,f1,0.2933680476244247,0.003682143929378911,5,0.34248706368544946,0.00600600255460703,5,0.23534219740720985,0.006736963419707227,5,0.2839753042332053,0.010887489372085115,5,0.13419525118917558,0.013770527493124183,5,0.048789045338924204,0.005130590005710539,5,0.19147695574612295,0.0038269087259386217,5,0.5091620708691835,0.009644823153172178,5,-0.13726488510288531,0.009701293401326427,5,0.5633741415124212,0.01201037101338593,5,11717.8,477.26795408868605,5,0.0423314102402,0.001724165420047203,5
bce,deberta-v3-base,random,cardinality_only,pareto_95,0.29347119465009674,0.0037192955474470066,5,0.34279480130394263,0.0063284682041566155,5,0.23350212295758746,0.005385796264344013,5,0.2798612879272432,0.00626654472193104,5,0.2348692902503502,0.08936010922832348,5,0.08904968988262879,0.036923418456060474,5,0.19140069549825514,0.0038323407136947865,5,0.5098812441769197,0.009020665131082404,5,-0.13857182757933437,0.008835719939453868,5,0.5627101120958404,0.011624004205854768,5,11657.4,525.5904298976534,5,0.042113210818934224,0.0018987339011009424,5
bce,deberta-v3-base,random,cardinality_only,pareto_98,0.29347119465009674,0.0037192955474470066,5,0.34279480130394263,0.0063284682041566155,5,0.23350212295758746,0.005385796264344013,5,0.2798612879272432,0.00626654472193104,5,0.2348692902503502,0.08936010922832348,5,0.08904968988262879,0.036923418456060474,5,0.19140069549825514,0.0038323407136947865,5,0.5098812441769197,0.009020665131082404,5,-0.13857182757933437,0.008835719939453868,5,0.5627101120958404,0.011624004205854768,5,11657.4,525.5904298976534,5,0.042113210818934224,0.0018987339011009424,5
bce,deberta-v3-base,random,cardinality_only,pareto_99,0.29347119465009674,0.0037192955474470066,5,0.34279480130394263,0.0063284682041566155,5,0.23350212295758746,0.005385796264344013,5,0.2798612879272432,0.00626654472193104,5,0.2348692902503502,0.08936010922832348,5,0.08904968988262879,0.036923418456060474,5,0.19140069549825514,0.0038323407136947865,5,0.5098812441769197,0.009020665131082404,5,-0.13857182757933437,0.008835719939453868,5,0.5627101120958404,0.011624004205854768,5,11657.4,525.5904298976534,5,0.042113210818934224,0.0018987339011009424,5
bce,deberta-v3-base,random,cardinality_only,standard,0.2933680476244247,0.003682143929378911,5,0.34248706368544946,0.00600600255460703,5,0.23534219740720985,0.006736963419707227,5,0.2839753042332053,0.010887489372085115,5,0.13419525118917558,0.013770527493124183,5,0.048789045338924204,0.005130590005710539,5,0.19147695574612295,0.0038269087259386217,5,0.5091620708691835,0.009644823153172178,5,-0.13726488510288531,0.009701293401326427,5,0.5633741415124212,0.01201037101338593,5,11717.8,477.26795408868605,5,0.0423314102402,0.001724165420047203,5
