method,seed,model_slug,geometry,family,objective,top_k,max_candidates,max_labels,threshold_factor,min_prob,marginal_temperature,neighbor_steps,random_seed,empirical_metric,alpha_neighbor,beta_opposite,gamma_cardinality,metric,higher_is_better,delta_decoded_minus_standard,delta_ci_low,delta_ci_high,improvement_over_standard,improvement_ci_low,improvement_ci_high,p_value_two_sided,n_samples,n_iterations,bootstrap_seed,significant_0.05
bce,1701,deberta-v3-base,empirical,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.0,0.02,decoder_geometry_cost,False,6.243626821766934e-05,-0.0027465678218946492,0.002777301490845342,-6.243626821766934e-05,-0.002777301490845342,0.0027465678218946492,0.949,14569,2000,42,False
bce,1984,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,macro_f1,True,0.0015506207852704623,-0.00048628208573129326,0.0036424351881379742,0.0015506207852704623,-0.00048628208573129326,0.0036424351881379742,0.141,14569,2000,42,False
bce,1984,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,micro_f1,True,-0.00037009272507532165,-0.0017328909860154494,0.001014199245238024,-0.00037009272507532165,-0.0017328909860154494,0.001014199245238024,0.611,14569,2000,42,False
bce,1984,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,decoder_geometry_cost,False,-0.012871741692071725,-0.01795434495947029,-0.007362367189000035,0.012871741692071725,0.007362367189000035,0.01795434495947029,0.0,14569,2000,42,True
bce,1984,deberta-v3-base,random,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,macro_f1,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14569,2000,42,False
bce,1984,deberta-v3-base,random,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,micro_f1,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14569,2000,42,False
bce,1984,deberta-v3-base,random,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,decoder_geometry_cost,False,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,14569,2000,42,False
bce,1984,deberta-v3-base,empirical,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,macro_f1,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14569,2000,42,False
bce,1984,deberta-v3-base,empirical,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,micro_f1,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14569,2000,42,False
bce,1984,deberta-v3-base,empirical,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,decoder_geometry_cost,False,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,14569,2000,42,False
