method,seed,model_slug,geometry,family,objective,top_k,max_candidates,max_labels,threshold_factor,min_prob,marginal_temperature,neighbor_steps,random_seed,empirical_metric,alpha_neighbor,beta_opposite,gamma_cardinality,validation_macro_f1,validation_micro_f1,validation_macro_auprc,validation_micro_auprc,validation_circular_error,validation_opposite_value_activation,validation_neighbor_error_rate,validation_opposite_error_rate,validation_confusion_distance_correlation,validation_decoder_geometry_cost,validation_n_predictions,validation_prediction_rate,test_macro_f1,test_micro_f1,test_macro_auprc,test_micro_auprc,test_circular_error,test_opposite_value_activation,test_neighbor_error_rate,test_opposite_error_rate,test_confusion_distance_correlation,test_decoder_geometry_cost,test_n_predictions,test_prediction_rate
bce,11,deberta-v3-base,empirical,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.02,0.3146906969179594,0.3620125037213457,0.2426032108567013,0.29317317501180756,0.3106354791725146,0.12513718807997218,0.17758074730842305,0.5099430018999367,-0.09156865874359968,0.59595509046476,11543.0,0.040762635251574995,0.2960690596395228,0.3493467541050277,0.2423862143364993,0.28818042169931274,0.30051652628721576,0.11637790030722923,0.1848383786557209,0.5110312981015905,-0.14273959828362548,0.5531300784736859,11232.0,0.04057642217975442
bce,42,deberta-v3-base,schwartz,full,standard,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,0.3051775050713913,0.3462186492081067,0.23041633713948007,0.2762630740326966,0.12844459499816663,0.04759334650044733,0.18363296754611252,0.528251225776325,-0.0973636343265866,0.614520558995851,12162.0,0.04294855496228494,0.29630508385730386,0.33617000344335674,0.23129280425502247,0.2711608814433096,0.12714188766778417,0.04555671759531583,0.1947362209370943,0.5176442818364215,-0.14557562479692254,0.5668048779765933,11890.0,0.04295349534519943
bce,42,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,0.3036877732453511,0.3448839332916807,0.22796231297945144,0.26483772067114847,0.2779631470849474,0.10540139364089657,0.18901022304832713,0.5247444237918215,-0.11614861931010458,0.5976060275300441,12196.0,0.0430686216346018,0.29748236003614675,0.33688657464262906,0.22955949194678668,0.2638257240814199,0.26961983646719784,0.09831915134152655,0.19860996583814347,0.5153728354340912,-0.1625811847167287,0.551401616555506,11918.0,0.04305464739479284
bce,42,deberta-v3-base,random,full,standard,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,0.3051775050713913,0.3462186492081067,0.23041633713948007,0.2762630740326966,0.12844459499816663,0.04759334650044733,0.18363296754611252,0.528251225776325,-0.0973636343265866,0.614520558995851,12162.0,0.04294855496228494,0.29630508385730386,0.33617000344335674,0.23129280425502247,0.2711608814433096,0.12714188766778417,0.04555671759531583,0.1947362209370943,0.5176442818364215,-0.14557562479692254,0.5668048779765933,11890.0,0.04295349534519943
bce,42,deberta-v3-base,random,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.0,0.0,0.3049545300415432,0.3459615384615385,0.22813483787304095,0.2652569504892846,0.28479225105017636,0.11061441772087914,0.18356419508788266,0.5274124083343034,-0.09837946092996584,0.6125971424922202,12189.0,0.04304390202559539,0.2965046453463628,0.3366239379205344,0.22912432971327104,0.2640818598638353,0.27609989273300245,0.10329524669451294,0.19493819894055325,0.5178340200117716,-0.14702611895990475,0.5657460999924202,11922.0,0.043069097687591894
bce,42,deberta-v3-base,empirical,full,standard,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,0.3051775050713913,0.3462186492081067,0.23041633713948007,0.2762630740326966,0.12844459499816663,0.04759334650044733,0.18363296754611252,0.528251225776325,-0.0973636343265866,0.614520558995851,12162.0,0.04294855496228494,0.29630508385730386,0.33617000344335674,0.23129280425502247,0.2711608814433096,0.12714188766778417,0.04555671759531583,0.1947362209370943,0.5176442818364215,-0.14557562479692254,0.5668048779765933,11890.0,0.04295349534519943
bce,42,deberta-v3-base,empirical,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.0,0.0,0.30489398907922155,0.3460334280622321,0.22817841920973445,0.26521727313233767,0.28359913255914715,0.11021175661445103,0.18345407805562047,0.5281607852301939,-0.09738074317561074,0.6142341201102036,12150.0,0.04290617848970252,0.29638856030304095,0.3363363363363363,0.229135635029787,0.26404688742900695,0.27499488433038766,0.10293084823146798,0.19425396074722157,0.518562307874202,-0.14574261964267482,0.5670736489787487,11874.0,0.0428956941740032
bce,1701,deberta-v3-base,schwartz,full,standard,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,0.30014412472633173,0.34835432953244033,0.22884096541504556,0.28450766872276584,0.14230133004306172,0.05375219988258713,0.17832957110609482,0.49473288186606473,-0.07169572991897215,0.6013667230531875,11472.0,0.04051190778879566,0.29376666084554354,0.3434054716210698,0.23144312852735652,0.27945112350723506,0.13842230956077592,0.05071661632618219,0.1938631403261009,0.4932597252535627,-0.13024128840343852,0.5568815771762251,11153.0,0.04029102889697302
bce,1701,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,0.29811554874884905,0.3470082049229538,0.2265117611688401,0.27820078631351636,0.29878492442985666,0.11315594307094919,0.1823239347578708,0.49108610443798206,-0.09392882809177266,0.5794812111040801,11377.0,0.04017642738085148,0.2945307313325027,0.3445098541080112,0.22902949916261975,0.2773434154463456,0.2892318460569346,0.10708019388644384,0.1966110464364248,0.4904928211098176,-0.1454979726266518,0.5416058949195907,11096.0,0.04008511222458645
bce,1701,deberta-v3-base,random,full,standard,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,0.30014412472633173,0.34835432953244033,0.22884096541504556,0.28450766872276584,0.14230133004306172,0.05375219988258713,0.17832957110609482,0.49473288186606473,-0.07169572991897215,0.6013667230531875,11472.0,0.04051190778879566,0.29376666084554354,0.3434054716210698,0.23144312852735652,0.27945112350723506,0.13842230956077592,0.05071661632618219,0.1938631403261009,0.4932597252535627,-0.13024128840343852,0.5568815771762251,11153.0,0.04029102889697302
bce,1701,deberta-v3-base,random,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.02,0.2990456362304192,0.34752519933804726,0.22691897611100748,0.27811446299304715,0.30327090265980367,0.1178863255301793,0.17800381436745072,0.4957406230133503,-0.07411452102567222,0.5996299163551289,11330.0,0.040010452863237,0.2936335923883017,0.3435960591133005,0.22920122437410195,0.2771467166568084,0.29388118779309547,0.11193517652993852,0.19322165952473705,0.4951305025321387,-0.13115791543708746,0.5571942466197883,11049.0,0.03991532128419752
bce,1701,deberta-v3-base,empirical,full,standard,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,0.30014412472633173,0.34835432953244033,0.22884096541504556,0.28450766872276584,0.14230133004306172,0.05375219988258713,0.17832957110609482,0.49473288186606473,-0.07169572991897215,0.6013667230531875,11472.0,0.04051190778879566,0.29376666084554354,0.3434054716210698,0.23144312852735652,0.27945112350723506,0.13842230956077592,0.05071661632618219,0.1938631403261009,0.4932597252535627,-0.13024128840343852,0.5568815771762251,11153.0,0.04029102889697302
bce,1701,deberta-v3-base,empirical,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.0,0.02,0.2989688089950661,0.3475340817963112,0.2269222121599721,0.27812325501066887,0.303519123409194,0.11798228965459288,0.1778003556007112,0.49580899161798325,-0.07420554479837697,0.5994038024203175,11341.0,0.04004929796310422,0.29362556974662524,0.3436105268557944,0.2292052017479848,0.27715412961719627,0.29412370829450896,0.11202871242631895,0.19325113562621674,0.49500324464633355,-0.1313103668281075,0.5569440134444428,11054.0,0.039933384150196344
bce,1984,deberta-v3-base,schwartz,full,standard,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,0.29213436442689583,0.3388998962166242,0.2230235796825044,0.27690075114004314,0.1492926955602996,0.05319265570490652,0.18977209560867148,0.5010561423012785,-0.0993109073316198,0.5915173305783301,12587.0,0.04444938836624573,0.28714713938201364,0.3364108482400462,0.22998026951908604,0.281487469553414,0.1476620194752777,0.0520102833483876,0.19245964555818942,0.5089739248222147,-0.1462802364539136,0.5551533339264905,12357.0,0.04464056702948944
bce,1984,deberta-v3-base,schwartz,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.1,0.2,0.0,0.29186121360630074,0.3382304312910388,0.21950119297750922,0.27181028319353956,0.32783207195782677,0.12252290994421718,0.19269325016707506,0.49910893294720426,-0.11502256611935796,0.5767796169949213,12558.0,0.04434697855750487,0.2886977601672841,0.33604075551497087,0.22613857318606764,0.2780446381710955,0.3194487694509107,0.11517103736939142,0.1953336339044184,0.5090171325518486,-0.1620691742218482,0.5422815922344187,12368.0,0.044680305334686844
bce,1984,deberta-v3-base,random,full,standard,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,0.29213436442689583,0.3388998962166242,0.2230235796825044,0.27690075114004314,0.1492926955602996,0.05319265570490652,0.18977209560867148,0.5010561423012785,-0.0993109073316198,0.5915173305783301,12587.0,0.04444938836624573,0.28714713938201364,0.3364108482400462,0.22998026951908604,0.281487469553414,0.1476620194752777,0.0520102833483876,0.19245964555818942,0.5089739248222147,-0.1462802364539136,0.5551533339264905,12357.0,0.04464056702948944
bce,1984,deberta-v3-base,random,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,0.29213436442689583,0.3388998962166242,0.2230235796825044,0.27690075114004314,0.1492926955602996,0.05319265570490652,0.18977209560867148,0.5010561423012785,-0.0993109073316198,0.5915173305783301,12587.0,0.04444938836624573,0.28714713938201364,0.3364108482400462,0.22998026951908604,0.281487469553414,0.1476620194752777,0.0520102833483876,0.19245964555818942,0.5089739248222147,-0.1462802364539136,0.5551533339264905,12357.0,0.04464056702948944
bce,1984,deberta-v3-base,empirical,full,standard,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,0.29213436442689583,0.3388998962166242,0.2230235796825044,0.27690075114004314,0.1492926955602996,0.05319265570490652,0.18977209560867148,0.5010561423012785,-0.0993109073316198,0.5915173305783301,12587.0,0.04444938836624573,0.28714713938201364,0.3364108482400462,0.22998026951908604,0.281487469553414,0.1476620194752777,0.0520102833483876,0.19245964555818942,0.5089739248222147,-0.1462802364539136,0.5551533339264905,12357.0,0.04464056702948944
bce,1984,deberta-v3-base,empirical,full,pareto_99,8,8,5,0.5,0.01,1.0,2,42,jaccard,0.0,0.0,0.0,0.29213436442689583,0.3388998962166242,0.2230235796825044,0.27690075114004314,0.1492926955602996,0.05319265570490652,0.18977209560867148,0.5010561423012785,-0.0993109073316198,0.5915173305783301,12587.0,0.04444938836624573,0.28714713938201364,0.3364108482400462,0.22998026951908604,0.281487469553414,0.1476620194752777,0.0520102833483876,0.19245964555818942,0.5089739248222147,-0.1462802364539136,0.5551533339264905,12357.0,0.04464056702948944
