method,seed,model_slug,family,objective,comparison,control_geometry,metric,higher_is_better,delta_schwartz_minus_control,delta_ci_low,delta_ci_high,schwartz_improvement_over_control,improvement_ci_low,improvement_ci_high,p_value_two_sided,n_samples,n_iterations,bootstrap_seed,significant_0.05
bce,1701,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,macro_f1,True,0.0008971389442009592,-0.0003054008446400358,0.002345765534322687,0.0008971389442009592,-0.0003054008446400358,0.002345765534322687,0.28,14569,50,42,False
bce,1701,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,micro_f1,True,0.000913794994710726,-0.0003798281166379064,0.0018773440944339318,0.000913794994710726,-0.0003798281166379064,0.0018773440944339318,0.32,14569,50,42,False
bce,1701,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,opposite_error_rate,False,-0.004637681422321072,-0.0067042867970323276,-0.0028163039556309212,0.004637681422321072,0.0028163039556309212,0.0067042867970323276,0.0,14569,50,42,True
bce,1701,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,decoder_geometry_cost,False,-0.015588351700197567,-0.020852724036792367,-0.010554758631543265,0.015588351700197567,0.010554758631543265,0.020852724036792367,0.0,14569,50,42,True
bce,1701,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,macro_f1,True,0.0009051615858774453,-0.00037275165304018616,0.0023564331520789764,0.0009051615858774453,-0.00037275165304018616,0.0023564331520789764,0.32,14569,50,42,False
bce,1701,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,micro_f1,True,0.0008993272522168083,-0.0004135769108104509,0.0017957934874789083,0.0008993272522168083,-0.0004135769108104509,0.0017957934874789083,0.4,14569,50,42,False
bce,1701,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,opposite_error_rate,False,-0.004510423536515928,-0.006573427201050192,-0.0028174448142386276,0.004510423536515928,0.0028174448142386276,0.006573427201050192,0.0,14569,50,42,True
bce,1701,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,decoder_geometry_cost,False,-0.015338118524852118,-0.020682873570198806,-0.010382219866970377,0.015338118524852118,0.010382219866970377,0.020682873570198806,0.0,14569,50,42,True
bce,1984,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,macro_f1,True,0.0015506207852704623,-0.00022758365722296556,0.0038316433362298136,0.0015506207852704623,-0.00022758365722296556,0.0038316433362298136,0.2,14569,50,42,False
bce,1984,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,micro_f1,True,-0.00037009272507532165,-0.0018389395787621414,0.0007769040387974518,-0.00037009272507532165,-0.0018389395787621414,0.0007769040387974518,0.72,14569,50,42,False
bce,1984,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,opposite_error_rate,False,4.3207729633842895e-05,-0.0018168749586746553,0.0024494990483658434,-4.3207729633842895e-05,-0.0024494990483658434,0.0018168749586746553,0.8,14569,50,42,False
bce,1984,deberta-v3-base,full,pareto_99,schwartz_vs_random,random,decoder_geometry_cost,False,-0.012871741692071503,-0.01684197542014227,-0.007667921546235022,0.012871741692071503,0.007667921546235022,0.01684197542014227,0.0,14569,50,42,True
bce,1984,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,macro_f1,True,0.0015506207852704623,-0.00022758365722296556,0.0038316433362298136,0.0015506207852704623,-0.00022758365722296556,0.0038316433362298136,0.2,14569,50,42,False
bce,1984,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,micro_f1,True,-0.00037009272507532165,-0.0018389395787621414,0.0007769040387974518,-0.00037009272507532165,-0.0018389395787621414,0.0007769040387974518,0.72,14569,50,42,False
bce,1984,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,opposite_error_rate,False,4.3207729633842895e-05,-0.0018168749586746553,0.0024494990483658434,-4.3207729633842895e-05,-0.0024494990483658434,0.0018168749586746553,0.8,14569,50,42,False
bce,1984,deberta-v3-base,full,pareto_99,schwartz_vs_empirical,empirical,decoder_geometry_cost,False,-0.012871741692071503,-0.01684197542014227,-0.007667921546235022,0.012871741692071503,0.007667921546235022,0.01684197542014227,0.0,14569,50,42,True
